Sample_Name,60_20-50,005-organic_0-20,003-organic_20-50,004-organic_20-50,003-organic_0-20,004-organic_0-20,91_0-20,002-sand_0-20,95_0-20,51_0-20,005-organic_20-50,009-sand_20-50,99_0-20,61_20-50,60_0-20,51_20-50,16_0-20,4_0-20_3,55_0-20,95_20-50,001-sand_0-20,009-sand_0-20,003-organic_20-50,79_0-20,5_0-20,79_20-50,80_0-20,55_20-50,20_20-50,001-sand_20-50,80_20-50,91_20-50,16_20-50,24_0-20,4_0-20,24_20-50,60_0-20,002-sand_20-50,4_20-50,5_20-50,72_20-50,99_20-50,20_0-20,72_0-20,61_0-20
spectral_data.2549.99998242594,39.34300767,31.71952036,29.7702316,43.69658502,38.32757311,40.55154678,34.29514547,35.29504614,30.50570266,52.20205336,39.74673061,46.92529331,40.63280261,43.19891225,43.77703176,47.56871482,40.91026164,39.70714915,40.29223959,32.25898032,51.11127074,46.82507034,41.99286082,28.38305364,41.8789543,38.52629608,38.34646048,50.72228745,38.70843707,44.49766667,43.68914646,41.38268462,42.74539009,43.40679039,41.45080676,45.96502734,38.85966625,43.8609827,34.74814456,37.53333875,45.50194928,38.99843445,33.38208211,43.62708244,44.31128724
spectral_data.2541.17645766908,39.61174942,31.72627803,29.82355031,43.63283106,38.35085579,40.51961996,34.49889529,35.46408248,30.66518463,52.40412476,39.81111974,47.22260648,40.81152565,43.47788326,43.90621869,47.78999061,41.06864451,39.8308025,40.39470998,32.44152113,51.23171856,46.92342967,41.97336625,28.48905479,41.99856541,38.76546763,38.41696822,50.79972141,38.81565887,44.65894524,44.1749434,41.79537638,43.15124958,43.70273788,41.6924408,46.35045149,39.06260435,44.18800371,35.03673679,37.80447853,45.80682111,39.28312042,33.48951301,43.72187694,44.35776391
spectral_data.2532.41378477552,39.85253901,31.74634686,29.89349586,43.65382627,38.38504544,40.50526286,34.68306768,35.60598384,30.80085626,52.57068853,39.87911128,47.4822507,40.96440363,43.72571021,44.01058654,47.98690167,41.21812785,39.94365041,40.48350836,32.62258411,51.33520854,47.00550638,42.0101192,28.59139299,42.11137947,39.01227226,38.49253997,50.88234865,38.91933459,44.81668579,44.62566809,42.18512986,43.53276034,43.97046004,41.91182883,46.70527452,39.24213924,44.51586713,35.32267773,38.06446319,46.08919399,39.56484067,33.60101205,43.81361057,44.41838511
spectral_data.2523.71133640679,40.05761887,31.77438827,29.9736687,43.7533906,38.4180491,40.49694474,34.83729677,35.71070109,30.90360686,52.68462149,39.94259758,47.68841409,41.08082396,43.9331076,44.07964893,48.14932351,41.34978775,40.04072996,40.55425544,32.80109645,51.40925677,47.06421016,42.1090004,28.68455187,42.21376695,39.26388646,38.58043686,50.97540879,39.02890111,44.98408725,44.98888531,42.5066235,43.84042243,44.16277044,42.072567,46.98533407,39.36713824,44.81217893,35.5840331,38.29147229,46.32474519,39.83183664,33.70890478,43.90540851,44.50238071
spectral_data.2515.06849381809,40.23634665,31.81249568,30.06466935,43.91458118,38.45151642,40.49446766,34.96915422,35.78711324,30.98127222,52.75649347,40.00460887,47.85045564,41.17020501,44.11169954,44.12289374,48.28708629,41.47051536,40.13021372,40.61585897,32.98387111,51.45945023,47.10727086,42.26559827,28.77127931,42.31153558,39.5210498,38.68981769,51.08478643,39.15412366,45.17200268,45.25062715,42.7452685,44.05809002,44.2662823,42.16684744,47.17730047,39.43037235,45.06021442,35.81392865,38.47932261,46.50736597,40.0826963,33.81040751,44.00210873,44.61531183
spectral_data.2506.48464671164,40.41328166,31.87356761,30.17760262,44.12343883,38.50501953,40.51392807,35.10373679,35.86219601,31.0580281,52.82257148,40.08200675,48.00070785,41.26123087,44.29143114,44.16910381,48.42880579,41.6038652,40.23446039,40.69064188,33.18707413,51.51012933,47.15751072,42.47255877,28.86467873,42.42158102,39.79102809,38.83315638,51.21825625,39.30570909,45.38817532,45.44449154,42.92711192,44.21309357,44.31111428,42.22378441,47.30810788,39.45559253,45.26961573,36.02745894,38.64407848,46.65429108,40.33178847,33.91317602,44.11232074,44.76155626
spectral_data.2497.95919309303,40.61693144,31.97501697,30.32778828,44.3726013,38.60720494,40.58044559,35.27238318,35.97007556,31.16458284,52.92895193,40.19781892,48.17987488,41.38993835,44.50626548,44.25465355,48.60892754,41.77932051,40.38089494,40.80507567,33.42864107,51.59450519,47.24368872,42.7196975,28.98372825,42.56545941,40.08367228,39.02070816,51.38182175,39.49123571,45.63307722,45.64020032,43.11118456,44.36820358,44.36296573,42.30096639,47.4383348,39.49173035,45.47565544,36.25668227,38.82007942,46.80129919,40.60427795,34.0346178,44.2463744,44.94287572
spectral_data.2489.4915391305,40.86407554,32.12913638,30.52566166,44.66338473,38.77946839,40.71364383,35.49527018,36.13360086,31.3216852,53.10528235,40.36846515,48.41328673,41.5802803,44.77499009,44.40414421,48.84890887,42.01611223,40.58823615,40.97651653,33.71931847,51.73626756,47.38545604,42.99943893,29.14385271,42.75877866,40.40602788,39.25755035,51.57840208,39.7141155,45.90262143,45.89643527,43.34966445,44.57927514,44.4806372,42.44834072,47.62265486,39.58248825,45.71467776,36.5294473,39.0384581,46.97934825,40.92081191,34.19249227,44.41279684,45.16067376
spectral_data.2481.081099017,41.15756146,32.33964859,30.77353549,45.00014044,39.0297607,40.92127488,35.77742257,36.35993912,31.5359948,53.35867963,40.59949343,48.70565071,41.83954231,45.09861642,44.6257891,49.15364659,42.31914623,40.86314505,41.21052973,34.06091892,51.94413593,47.58953089,43.30736603,29.35326149,43.00809947,40.76032925,39.54447442,51.80891695,39.97520997,46.19258054,46.23847751,43.66728973,44.87337991,44.6943471,42.6906413,47.88934744,39.75115316,46.00811408,36.85846222,39.31582555,47.20348452,41.29048675,34.39884928,44.6174356,45.41757417
spectral_data.2472.72729483517,41.4885579,32.59936217,31.0637865,45.38193732,39.349425,41.19539231,36.1090638,36.64065299,31.79993667,53.67514587,40.88380209,49.04352116,42.15830907,45.46326517,44.91115218,49.51261801,42.67840454,41.19885302,41.50021739,34.44544139,52.21098485,47.8489947,43.63898015,29.61047298,43.30917241,41.14270721,39.87660709,52.07165316,40.27207089,46.4999978,46.65518468,44.05688024,45.24418414,45.00013107,43.02257419,48.23548726,39.99635341,46.35690044,37.23818197,39.65055547,47.47142865,41.70846174,34.65589645,44.86154647,45.71476031
